district,location,size_decimals,distance_km,electricity,water,price_ugx
Wakiso,Gayaza - Kiwenda,12,0.8,Yes,Yes,168000000
Wakiso,Gayaza - Manyangwa,15,1.2,Yes,No,98000000
Wakiso,Kasangati - Nangabo,20,0.5,Yes,Yes,435000000
Wakiso,Kasangati - Matugga,50,3.5,Yes,Yes,875000000
Wakiso,Kitende - along Entebbe Road,25,4.2,Yes,Yes,540000000
Wakiso,Kitende - Kitovu,18,3.8,Yes,Yes,395000000
Wakiso,Kira - Kimwanyi,30,1.5,Yes,Yes,810000000
Wakiso,Kira - Estates,12,0.9,Yes,Yes,228000000
Wakiso,Namugongo - Sonde,22,2.1,Yes,Yes,270000000
Wakiso,Namugongo - Buto,25,1.8,Yes,Yes,305000000
Wakiso,Bwerenga - off Gayaza road,1000,4.5,No,Yes,3300000000
Wakiso,Garuga - Lake Victoria view,50,6.8,Yes,Yes,1920000000
Wakiso,Lubowa - off Entebbe Road,24,5.5,Yes,Yes,700000000
Wakiso,Kajjansi - along Entebbe Road,15,7.2,Yes,Yes,335000000
Wakiso,Kakiri - along Mityana Road,30,2.5,Yes,No,185000000
Mukono,Seeta - Nabuuti,12,0.6,Yes,Yes,102000000
Mukono,Seeta - Bajjo,25,1.1,Yes,Yes,335000000
Mukono,Kabembe - off Kayunga Road,15,1.4,Yes,Yes,152000000
Mukono,Kiyunga - along Jinja Road,20,3.2,Yes,Yes,295000000
Mukono,Nakifuma - along Jinja Road,40,4.8,Yes,Yes,540000000
Mukono,Goma - along Kampala-Jinja,100,2.5,Yes,Yes,1850000000
Kampala,Buziga - hilltop,35,1.2,Yes,Yes,980000000
Kampala,Mutungo - Kigo Road,25,4.5,Yes,Yes,440000000
Kampala,Nakasero - valley,50,0.8,Yes,Yes,3950000000
Kampala,Kololo - upper,40,0.6,Yes,Yes,5400000000
Kampala,Kamwokya - lower,30,1.0,Yes,Yes,1520000000
Kampala,Bunga - Gaba Road,28,2.8,Yes,Yes,810000000
Mpigi,Kammengo - along Masaka Road,50,6.5,Yes,Yes,395000000
Mpigi,Mpigi Town - outskirts,100,3.2,Yes,Yes,980000000
Luweero,Wobulenzi - along Gayaza-Zirobwe,40,2.1,Yes,Yes,500000000
Luweero,Bamunanika,80,5.5,Yes,No,700000000
Wakiso,Matugga - Bubaale,45,4.0,Yes,Yes,540000000
Wakiso,Nansana - along Hoima Road,18,1.9,Yes,Yes,395000000
Wakiso,Nansana - Busiro,25,2.3,Yes,Yes,470000000
Mukono,Kyetume - along Kayunga Road,30,3.8,Yes,Yes,395000000
Mukono,Kyetume - hill,50,4.2,Yes,Yes,650000000
Wakiso,Seguku - Katale,20,3.5,Yes,Yes,500000000
Wakiso,Nansana - Nabweru,15,1.6,Yes,Yes,290000000
Kampala,Muyenga - Tank Hill,22,1.4,Yes,Yes,980000000
Kampala,Kisaasi - Kulambilo,25,1.2,Yes,Yes,700000000
Wakiso,Kyengera - along Masaka Road,30,5.5,Yes,Yes,395000000
Wakiso,Mpererwe - along Gayaza Road,20,2.8,Yes,Yes,440000000
Mukono,Nama - along Jinja Road,40,6.0,Yes,Yes,540000000
Wakiso,Busabala - Lake side,60,7.5,Yes,Yes,1520000000
Wakiso,Busabala - off Entebbe Road,25,6.8,Yes,Yes,540000000
Kampala,Ntinda - Kyambogo area,28,1.5,Yes,Yes,880000000
Wakiso,Kisaasi - off Naalya Road,22,1.8,Yes,Yes,500000000
Mukono,Buddo - along Masaka Road,50,8.5,Yes,Yes,440000000
Luweero,Kikunyu - along Luweero Road,100,4.0,Yes,No,880000000
Wakiso,Najjera - along Najjera Road,18,1.4,Yes,Yes,395000000
Wakiso,Kiwatule - along Jinja Road,25,2.2,Yes,Yes,540000000
Ntoroko,Karugutu,54000,5.0,No,Yes,1080000000
Ntoroko,Karugutu,10000,5.0,No,Yes,200000000
Ntoroko,Karugutu,2500,4.0,Yes,No,50000000
Ntoroko,Bundibugyo Road,15000,3.5,No,Yes,300000000
Ntoroko,Karugutu Hill,5000,6.0,No,No,100000000
Kazo,Kazo Town,6400,7.0,No,Yes,384000000
Kazo,Kazo Outskirts,2500,10.0,No,No,150000000
Kazo,Kiruhura Border,10000,4.5,Yes,Yes,600000000
Kazo,Kazo Farm Area,5000,8.0,No,Yes,300000000
Kazo,Kazo Central,2000,2.0,Yes,No,120000000
Bundibugyo,Bundibugyo Town,10000,3.0,Yes,Yes,200000000
Bundibugyo,Bwamba,5000,5.5,No,No,100000000
Bundibugyo,Ntoroko Border,15000,4.0,No,Yes,300000000
Bundibugyo,Bundibugyo Rural,2500,7.0,No,No,50000000
Bundibugyo,Semuliki Area,6400,6.0,Yes,Yes,128000000
Kamwenge,Kamwenge Town,20000,15.0,No,Yes,640000000
Kamwenge,Kabambiro,24000,10.0,No,Yes,960000000
Kamwenge,Kyabandara,4500,6.0,Yes,Yes,135000000
Kamwenge,Muluganda,20000,12.0,No,No,240000000
Kamwenge,Busiriba,2000,8.0,Yes,No,11800000
Gulu,Gulu Town,1000,1.5,Yes,Yes,25000000
Gulu,Olel Pukong,1000,4.0,No,Yes,2500000
Gulu,Layibi,500,2.0,Yes,No,12500000
Gulu,Gulu Highway,2500,3.5,Yes,Yes,62500000
Gulu,Gulu Rural,5000,5.0,No,No,10000000
Kitgum,Kitgum Town,2000,2.0,Yes,Yes,40000000
Kitgum,Kitgum Outskirts,10000,6.0,No,No,20000000
Kitgum,Pader Border,5000,4.5,No,Yes,10000000
Kitgum,Kitgum Farm,2500,7.0,Yes,No,5000000
Kitgum,Lamwo Area,1500,3.0,No,No,3000000
Lira,Lira Town,2000,1.0,Yes,Yes,40000000
Lira,Lira Central,1000,2.5,Yes,No,20000000
Lira,Oyam Border,5000,5.0,No,Yes,10000000
Lira,Lira Rural,2500,4.0,No,No,5000000
Lira,Kwania Area,3000,3.5,Yes,Yes,60000000
Ntoroko,Karugutu Farm,30000,5.5,No,Yes,600000000
Kazo,Kazo Hill,4000,6.0,Yes,No,240000000
Bundibugyo,Bundibugyo Central,3000,2.5,Yes,Yes,60000000
Kamwenge,Kamwenge Rural,10000,10.0,No,No,200000000
Gulu,Gulu Farm,4000,4.0,No,Yes,80000000
Kitgum,Kitgum Central,1500,1.5,Yes,Yes,30000000
Lira,Lira Highway,2500,3.0,Yes,No,50000000
Ntoroko,Ntoroko Border,20000,7.0,No,No,400000000
Kazo,Kazo Border,5000,5.0,No,Yes,100000000
Bundibugyo,Bwamba Rural,10000,6.0,No,No,200000000
Kamwenge,Kabambiro Farm,15000,8.0,Yes,Yes,300000000
Gulu,Layibi Rural,3000,5.5,No,No,60000000
Kitgum,Pader Area,4000,4.5,No,Yes,80000000
Lira,Oyam Rural,2000,6.0,No,No,40000000